	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_8695	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA
ASV_8696	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_8697	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	NA	NA
ASV_8698	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	NA	NA
ASV_8699	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA	NA
ASV_8700	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8701	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	NA
ASV_8702	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	NA
ASV_8703	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8704	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV_8705	Bacteria	Desulfobacterota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	NA
ASV_8706	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_8707	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_8708	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV_8709	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	NA	NA	NA
ASV_8710	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
ASV_8711	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NA	NA
ASV_8712	Bacteria	Patescibacteria	ABY1	NA	NA	NA	NA
ASV_8713	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca	NA
ASV_8714	Bacteria	Patescibacteria	ABY1	Candidatus_Komeilibacteria	NA	NA	NA
ASV_8715	Bacteria	NA	NA	NA	NA	NA	NA
ASV_8716	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	NA	NA
