	1_MV294.R1	1_MV302.R1	1_MV326.R1	1_MV363A.R1	2_MV254.R1	2_MV257.R1	2_MV259.R1	2_MV262.R1	2_MV265.R1	2_MV267.R1	2_MV271.R1	2_MV273.R1	2_MV275.R1	2_MV278.R1	2_MV280.R1	2_MV282.R1	2_MV287.R1	2_MV289.R1	2_MV294.R1	2_MV296.R1	2_MV302.R1	2_MV304.R1	2_MV306.R1	2_MV308.R1	2_MV310.R1	2_MV312.R1	2_MV314.R1	2_MV316.R1	2_MV318.R1	2_MV320.R1	2_MV322.R1	2_MV325.R1	2_MV327.R1	2_MV329.R1	2_MV331.R1	2_MV333.R1	2_MV336.R1	2_MV338.R1	2_MV340.R1	2_MV342.R1	2_MV344.R1	2_MV347.R1	2_MV349.R1	2_MV351.R1	2_MV353.R1	2_MV355.R1	2_MV357.R1	2_MV359.R1	2_MV361.R1	2_MV363A.R1	2_MV364.R1	2_MV366.R1	2_MV368.R1	2_MV371.R1	2_MV373.R1	2_MV375.R1	2_MVM2.R1	3_258.R1	3_260.R1	3_261.R1	3_263.R1	3_266.R1	3_270.R1	3_272.R1	3_274.R1	3_276.R1	3_279.R1	3_281.R1	3_286.R1	3_288.R1	3_290.R1	3_295.R1	3_300.R1	3_303.R1	3_305.R1	3_307.R1	3_309.R1	3_311.R1	3_313.R1	3_315.R1	3_317.R1	3_319.R1	3_321.R1	3_323.R1	3_324.R1	3_326.R1	3_328.R1	3_330.R1	3_332.R1	3_335.R1	3_337.R1	3_339.R1	3_341.R1	3_343.R1	3_348.R1	3_350.R1	3_352.R1	3_354.R1	3_356.R1	3_358.R1	3_360.R1	3_362.R1	3_363B.R1	3_365.R1	3_367.R1	3_369.R1	3_370.R1	3_372.R1	3_374.R1	3_M1.R1	4_MV260_R1.fastq	4_MV294_R1.fastq	4_MV302_R1.fastq	4_MV317_R1.fastq	4_MV326_R1.fastq	4_MV363A_R1.fastq	5_263B_R1.fastq	5_325A_R1.fastq	5_336A_R1.fastq	5_337B_R1.fastq	5_339A_R1.fastq	5_357B_R1.fastq	5_358B_R1.fastq	5_376_R1.fastq	5_377_R1.fastq	5_378_R1.fastq	5_379_R1.fastq	5_380_R1.fastq	5_381_R1.fastq	5_382_R1.fastq	5_383_R1.fastq	5_384_R1.fastq	5_385_R1.fastq	5_386_R1.fastq	5_387_R1.fastq	5_388_R1.fastq	5_389_R1.fastq	5_390_R1.fastq	5_391_R1.fastq	5_392_R1.fastq	5_393_R1.fastq	5_C10N10P_R1.fastq	5_C10N7P_R1.fastq	5_C11N11P_R1.fastq	5_C11N5P_R1.fastq	5_C11N7P_R1.fastq	5_C13N10P_R1.fastq	5_C13N7P_R1.fastq	5_C15N10P_R1.fastq	5_C15N7P_R1.fastq	5_C17N10P_R1.fastq	5_C17N5P_R1.fastq	5_C17N8P_R1.fastq	5_C1N2P_R1.fastq	5_C1N5P_R1.fastq	5_C1N5V_R1.fastq	5_C2N4P_R1.fastq	5_C2N4V_R1.fastq	5_C2N5P_R1.fastq	5_C2N7P_R1.fastq	5_C2N7V_R1.fastq	5_C3N12P_R1.fastq	5_C3N4P_R1.fastq	5_C3N9P_R1.fastq	5_C4N10P_R1.fastq	5_C4N4-6P_R1.fastq	5_C4N4-6V_R1.fastq	5_C4N7P_R1.fastq	5_C7N10-11P_R1.fastq	5_C7N3-4P_R1.fastq	5_C7N7-6V_R1.fastq	5_C7N7P_R1.fastq	5_C8N5P_R1.fastq	5_C8N7P_R1.fastq	5_C8N9P_R1.fastq	5_C9N12P_R1.fastq	5_C9N5P_R1.fastq	5_C9N8P_R1.fastq	5_MVBUCKETP_R1.fastq	5_MVBUCKETV_R1.fastq	6_308_R1.fastq	6_309_R1.fastq	6_310_R1.fastq	6_338_R1.fastq	6_394_R1.fastq	6_395_R1.fastq	6_396_R1.fastq	6_397_R1.fastq	6_398_R1.fastq	6_399_R1.fastq	6_400Milli_R1.fastq	6_400Ster_R1.fastq	6_DockA_R1.fastq	6_DockB_R1.fastq	6_SynCommunityA_R1.fastq	6_SynCommunityB_R1.fastq	6_SynCommunityC_R1.fastq	6_SynCommunityD_R1.fastq
ASV_11	822	0	1482	4981	0	0	0	9120	3791	2857	198	0	0	0	0	0	348	3593	1362	1442	0	0	2671	1918	1070	767	562	0	0	0	0	2295	1631	166	0	0	5356	2960	4583	898	257	0	0	0	0	5078	7141	4818	5321	6217	672	412	0	0	0	0	0	0	278	0	1081	2559	450	74	0	0	0	0	0	308	762	3327	157	0	0	4093	1625	486	969	306	0	0	0	0	3712	1499	1675	0	0	2521	2295	3101	4652	367	0	0	0	627	4860	2838	2481	4239	1096	175	0	0	0	0	0	0	194	1096	0	185	1869	5319	1529	2156	5134	3510	3730	6549	4095	1171	6826	3562	3182	0	7782	3893	124	0	108	283	0	0	0	9491	0	3585	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	841	501	72	1172	0	1045	4748	2173	1310	2615	2313	1932	1724	1843	4301	1167	623	2760	1319	1690	579	1069	1039	425	1191	1084	1690	2695	316	813	0	0	1628	2603	2671	1455	177	424	2133	2602	1705	442	1052	2419	1049	2057	1299	6157	6425	1336	2712	4901	1617	530	2315	2593	0	896	1222	955	366	1876	643	705	237	650	843	1979	1443	678	967	2079	265	595	729	701	1978	1654	1095	2436	333	348	639	1393	1350	84	777	1274	2293	759	194	650	1350	2176	1410	548	1750	724	1275	1932	2505	1937	779	1102	935	293	777	823	1192	0	2457	1648	691	1291	153	1795	597	178	181	296	765	1339	2385	1600	2955	2980	1664	157	1944	2164	54	1549	3681	4459	2029	2413	3150	1603	112	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	1504	95	174	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	2652	70	104	1090	0	171	169	4959	1278	1963	412	521	343	643	658	378	1224	2914	4184	1945	101	281	2022	587	1722	1718	948	2040	277	451	603	775	8062	1480	1117	727	1262	831	5283	4397	2965	0	0	482	0	4224	4462	5614	2733	1451	742	1395	383	0	1490	1104	0	0	752	512	591	2336	1199	355	70	213	606	93	453	289	1714	2175	116	90	598	942	274	2507	1213	477	567	256	389	430	2398	113	2511	687	203	2741	749	231	2772	1688	0	0	106	1235	1241	2056	3464	1789	968	262	262	609	0	157	439	0	854	3456	130	1490	173	1100	921	718	1296	1153	277	4369	2722	2433	4815	2364	2832	0	8504	3727	346	0	1695	1940	795	1176	1160	6646	0	1939	191	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	25	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	233	0	1497	0	0	0	0	422	10355	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	1524	2132	0	0	0	0	0	0	792	2519	0	0	0	5671	3691	6704	0	0	0	0	0	0	0	8816	12742	0	0	0	0	0	0	0	0	0	0	0	0	2666	2574	0	0	0	0	0	0	0	0	0	1731	0	0	0	1033	4726	659	0	0	0	0	0	0	0	1492	0	0	0	0	3272	10538	0	0	0	0	0	0	3489	3774	520	0	0	0	0	0	0	0	0	0	0	473	0	0	2292	0	4960	648	6131	4885	16544	10627	6823	0	557	1906	5800	1039	534	0	0	0	0	0	0	0	0	6663	519	10866	9553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	2523	0	2131	0	0	0	0	0	11912	90	0	0	0	0	0	0	0	190	3449	0	0	0	0	2349	2632	0	0	0	0	0	0	2005	278	0	0	0	4660	6944	2094	0	0	0	0	0	0	0	1188	9943	984	0	0	0	0	0	0	0	0	0	0	0	8267	1202	0	0	0	0	0	0	0	0	0	1502	0	0	0	3471	3459	1212	0	0	0	0	0	0	0	2377	0	0	0	0	3870	9056	0	0	0	0	0	0	238	2926	712	369	0	0	0	0	0	0	0	0	0	3248	0	0	2714	57	14142	2003	4907	6205	11765	1430	3923	0	192	6354	2538	0	290	0	0	0	0	0	0	0	0	449	0	18124	7358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	35	1649	0	54	1259	1717	489	162	0	0	27	358	3028	5438	1809	2716	3096	382	74	58	1933	8921	893	0	0	0	0	2462	1939	6631	1497	0	0	469	3042	4508	0	0	0	14	19	132	1300	2940	407	582	0	0	45	63	430	3378	4478	126	6213	5641	0	80	583	1211	0	0	0	32	1647	2665	2862	865	6027	1925	336	0	277	2513	6917	68	21	0	0	103	1126	2458	2210	2196	86	0	0	1038	1119	507	0	0	0	0	636	2381	546	962	27	0	0	35	290	287	4139	4412	183	1625	2133	0	738	100	1428	2819	0	58	0	9	31	0	0	0	0	1563	0	0	0	0	0	0	39	125	1206	3977	2632	3561	11038	481	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	2296	510	556	53	51	325	558	447	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	19	0	2230	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	1428	98	69	1906	0	1481	3577	1392	633	6893	472	793	294	504	644	595	611	2175	1505	1800	198	639	1887	1848	4351	1730	2741	382	0	331	278	368	6004	957	1238	251	215	780	644	1902	1923	191	256	212	971	1447	0	681	2737	1907	210	278	177	1328	3280	2894	0	757	1261	873	298	845	784	324	207	154	270	474	656	512	994	2229	222	175	990	1706	1027	10354	1761	867	155	161	240	1381	551	53	967	199	634	119	463	36	1470	416	108	162	602	655	354	97	1086	1489	334	123	87	357	684	1501	1824	0	2204	2991	145	334	0	1948	1252	358	236	687	181	68	420	1112	470	220	2222	3177	3694	2093	704	931	536	861	776	708	996	661	1452	4704	0	0	0	57	0	58	60	51	0	0	0	0	0	3368	518	993	372	625	203	254	221	0	0	0	0	49	0	0	0	0	0	0	0	0	0	203	114	138	906	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	175	593	0	1690	244	3105	7374	120	0	133	1855	1435	673	1049	2051	1116	632	387	178	725	1038	1006	766	226	201	1079	1910	1718	318	584	613	0	0	1905	2587	1046	0	0	0	2352	2557	789	1596	242	244	751	0	0	2111	1789	790	2226	974	301	380	343	0	4112	568	86	0	0	460	1303	287	498	492	1508	804	432	201	672	219	429	626	188	0	725	1277	1119	257	405	478	2200	90	0	152	832	2070	82	0	0	209	489	973	178	1185	549	0	0	133	1100	567	577	850	529	2484	164	208	0	997	310	852	782	0	1693	0	0	0	0	0	0	0	713	0	0	214	415	2286	1021	457	1505	2174	2098	1639	2225	2598	49	0	0	0	0	0	215	0	264	289	223	128	0	0	0	0	15708	2916	4775	1163	1691	794	1200	977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737	432	661	3009	2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	1009	117	25	370	0	0	0	2255	412	69	1132	285	121	52	85	101	0	3214	1809	0	182	0	7178	18860	132	0	0	0	307	110	0	356	0	119	281	0	3191	1242	0	88	74	130	0	61	757	7697	13895	948	108	479	0	0	419	0	0	573	0	0	39	292	1577	0	241	282	110	30	0	88	1214	1482	1194	236	0	42	56	10493	880	168	30	0	0	646	0	0	426	35	0	92	89	2194	1038	0	26	123	0	58	0	0	2722	3767	303	44	115	0	29	0	0	0	0	0	0	2120	195	0	52	562	2566	373	3549	1555	0	14857	6355	0	397	2880	7810	2567	434	80	0	0	0	0	0	313	62	1039	601	568	127	0	0	0	0	0	34	0	64	0	0	0	0	0	0	0	40	0	0	27	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	1142	0	488	238	140	615	0	0	0	2739	2302	2111	2872	2653	280	207	0	0	0	1344	648	0	0	0	0	425	7137	423	603	954	0	0	1327	2790	857	0	0	0	243	4692	3635	4029	538	3154	160	0	0	0	586	4634	5075	1824	237	491	171	0	161	157	71	0	0	0	2422	491	1696	604	355	520	232	0	0	818	507	181	0	0	0	32	1547	702	556	691	441	0	0	0	951	4147	0	0	0	0	1953	3313	1288	1197	243	0	0	0	0	1989	1773	1031	877	1100	122	234	0	271	0	1247	2313	0	486	0	0	0	0	0	0	0	262	0	0	0	0	0	0	537	0	1006	1952	1930	1147	2376	0	0	0	0	0	0	52	0	0	0	46	0	0	0	0	0	19606	0	4734	170	239	362	659	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	698	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
